"filename", "language", "JSON", "Django HTML", "Markdown", "TypeScript", "JSON with Comments", "XML", "TypeScript JSX", "Rust", "SQL", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\fresca.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\gioco.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\governor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\horsey.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\icpieces.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\kosal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\leipzig.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\letter.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\libra.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\maestro.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\merida.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\pirouetti.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\pixel.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\reillycraig.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\riohacha.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\shapes.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\spatial.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\staunty.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\public\pieces\tatiana.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\chess.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 814, 0, 0, 0, 1, 100, 915
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\create.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 5, 50
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\delete_indexes.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\encoding.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 64
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\indexes.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1382, 0, 0, 0, 23, 180, 1585
